subject_id,arm,test_fold,cohort,dice_femur,assd_mm_femur,hd95_mm_femur,empty_prediction_femur,false_bridge_femur,dice_tibia,assd_mm_tibia,hd95_mm_tibia,empty_prediction_tibia,false_bridge_tibia,dice_patella,assd_mm_patella,hd95_mm_patella,empty_prediction_patella,false_bridge_patella,dice_fibula,assd_mm_fibula,hd95_mm_fibula,empty_prediction_fibula,false_bridge_fibula,dice_macro,assd_mm_macro
Case16,plain_prelu_style,2,fractured,0.536286594761171,10.935936731547706,23.735089892130176,0.0,1.0,0.5429078561506405,9.460525636990976,18.76626898353799,0.0,1.0,0.3033154352732631,11.49114878100994,22.80393674894754,0.0,0.0,0.1181331164072347,21.520876929594863,45.50739337253344,0.0,0.0,0.3751607506480774,13.352122019785872
Case16,plain_unet_style,2,fractured,0.5558721758599634,10.273487400116224,21.45239096522809,0.0,1.0,0.5244788391609243,10.306528028554371,20.267377767301323,0.0,1.0,0.3084814854545986,11.463035937681726,21.35257870111945,0.0,0.0,0.140281477834873,19.74866487088275,45.15733130193258,0.0,0.0,0.3822784945775898,12.947929059308768
Case16,residual_relu_style,2,fractured,0.6079972720427002,8.492061357536251,19.593650318725707,0.0,1.0,0.5860404992688907,8.144022167846215,17.311343598562765,0.0,1.0,0.439292286736897,8.047408820168153,21.165964350225103,0.0,0.0,0.3124563611993089,8.875712985476117,20.64038252128579,0.0,0.0,0.4864466048119492,8.389801332756683
Case16,residual_vnet_style,2,fractured,0.5952512891698685,8.95591022658021,20.3125,0.0,1.0,0.5638114866338955,8.957239663291647,18.371837525476323,0.0,1.0,0.4155072542226072,8.524064800948905,21.580042682708022,0.0,0.0,0.3114486234287795,8.902634113926144,19.327057620082783,0.0,0.0,0.4715046633637877,8.834962201186727
Case2,plain_prelu_style,0,fractured,0.5304529669695921,10.42280804906591,18.50424887863596,0.0,0.0,0.5542892750813543,9.329875625649985,22.71006539648224,0.0,0.0,0.430188305533155,7.421981587707663,16.568209063907492,0.0,0.0,0.1295085765458999,21.384173528232587,50.09756106837936,0.0,0.0,0.4111097810325003,12.139709697664037
Case2,plain_unet_style,0,fractured,0.5178172551992194,10.736117149994122,19.08873706698534,0.0,0.0,0.5562890014779824,9.05952963387723,23.450517218443174,0.0,0.0,0.495901168358552,6.110974664011192,17.832362828927074,0.0,0.0,0.1263753476935929,19.73465965545093,41.71465335691404,0.0,0.0,0.4240956931823366,11.410320275833367
Case2,residual_relu_style,0,fractured,0.6126934102713406,7.704064369004918,16.774148869987414,0.0,0.0,0.5787340184356192,7.536172263861247,19.31126108485668,0.0,0.0,0.4333339565843352,5.1854499748771525,11.076130374029551,0.0,0.0,0.1492105817135639,13.204119675103362,26.82544486467093,0.0,0.0,0.4434929917512147,8.40745157071167
Case2,residual_vnet_style,0,fractured,0.620816293785736,7.438676577129911,16.554390703450853,0.0,0.0,0.5826160298552299,7.490963008827309,18.87975933374152,0.0,0.0,0.2749885622095403,6.627321234564181,13.509075363898893,0.0,0.0,0.1440747940068463,13.8743346694666,27.91807560188381,0.0,0.0,0.4056239199643381,8.857823872497
Case3,plain_prelu_style,0,fractured,0.5044668987527786,10.954004302753654,26.49347649658308,0.0,0.0,0.4898920935369822,10.398152053680288,22.99052963994088,0.0,1.0,0.1026656709633429,15.202115795845746,29.95357736356377,0.0,0.0,0.034087853695661,29.09980825304912,60.500234051716696,0.0,1.0,0.2827781292371912,16.413520101332203
Case3,plain_unet_style,0,fractured,0.5352714666474262,10.139474216385462,22.97725182789491,0.0,0.0,0.5149620260772874,10.017617949966352,23.08326047295962,0.0,1.0,0.084418229803213,14.07242509693328,28.99058643012417,0.0,0.0,0.0798811480765659,25.34731035464249,57.98643598129221,0.0,1.0,0.3036332176511231,14.894206904481898
Case3,residual_relu_style,0,fractured,0.5735624836590361,8.878071659852921,21.875,0.0,0.0,0.5437883723320102,8.816979352988016,20.37250751625828,0.0,1.0,0.0277727245164028,10.177462490572424,17.780947932407877,0.0,0.0,0.0446393526033968,24.46525777280936,53.5939777691953,0.0,1.0,0.2974407332777114,13.08444281905568
Case3,residual_vnet_style,0,fractured,0.5866548066479731,8.4777432130806,21.763106683100187,0.0,0.0,0.5387192617972242,8.981212161918226,20.432338797846903,0.0,1.0,0.0186636466591166,10.124353738268818,17.763776563909488,0.0,0.0,0.0581334617113946,25.21804268371811,54.15477133007303,0.0,1.0,0.3005427942039271,13.20033794924644
Case6,plain_prelu_style,3,fractured,0.4909395186309772,10.880664559252573,25.50754330830392,0.0,1.0,0.6032248827803429,7.900262713599663,17.780947932407877,0.0,0.0,0.2457272801435797,12.241352297264752,28.276501673209157,0.0,0.0,0.0998814248557779,29.110916896374984,76.29497264933319,0.0,0.0,0.3599432766026694,15.033299116622992
Case6,plain_unet_style,3,fractured,0.498072586725069,10.803322946042544,24.76698044398025,0.0,1.0,0.5909185459379394,8.347074484922215,19.84128921750046,0.0,0.0,0.2457389902542683,12.686155753445124,29.01163223066741,0.0,0.0,0.0890809954025655,29.27648787837922,75.5469151914373,0.0,0.0,0.3559527795799606,15.278260265697275
Case6,residual_relu_style,3,fractured,0.5935213885557338,7.523588199383597,19.593650318725707,0.0,1.0,0.6685135370523156,6.48452374373409,14.594954447085472,0.0,0.0,0.2896275178288934,9.331367531405768,21.03797539524522,0.0,0.0,0.1760429458615487,19.787921611256863,60.44547958788622,0.0,0.0,0.4319263473246229,10.78185027144508
Case6,residual_vnet_style,3,fractured,0.5564463796426998,8.873869929088059,22.65625,0.0,1.0,0.6355015831028816,7.229728348871837,16.591219204371328,0.0,0.0,0.2432128546896721,8.930305756020264,18.814991529362963,0.0,0.0,0.1492463621788648,21.014900136901375,62.73880160285579,0.0,0.0,0.3961017949035296,11.512201042720385
Case7,plain_prelu_style,1,fractured,0.3290819361580269,14.58961690386692,34.98220808943455,0.0,0.0,0.3680484840308577,13.577034391961533,29.738853610428563,0.0,0.0,0.0334009986466937,30.322244156954007,70.05530214700744,0.0,0.0,0.0048800346425413,33.84543741402821,59.91734215254378,0.0,0.0,0.1838528633695299,23.083583216702667
Case7,plain_unet_style,1,fractured,0.3106571637479671,14.590828061377664,35.16970202245884,0.0,0.0,0.3863055025458098,13.077892166530832,28.4711730160947,0.0,0.0,0.0542204006154822,24.000542185155144,61.88959734712639,0.0,0.0,0.0068211371177472,32.56851910318164,58.983081525552734,0.0,0.0,0.1895010510067516,21.05944537906132
Case7,residual_relu_style,1,fractured,0.3115563067184825,14.582897932597469,34.13445667961481,0.0,0.0,0.369274391884225,13.520551940923346,27.18705100203956,0.0,0.0,0.0,33.52977157842249,42.2034111283537,0.0,0.0,0.0,29.41056284470041,52.65184514216952,0.0,0.0,0.1702076746506768,22.760946074160927
Case7,residual_vnet_style,1,fractured,0.3224892689144313,13.51356238854318,31.347504137092,0.0,0.0,0.3692495237262239,13.044261700875772,26.23883691210417,0.0,0.0,0.0,24.908394182925857,35.510369304260976,0.0,0.0,0.0,30.67362327515916,53.54270528337637,0.0,0.0,0.1729346981601638,20.53496038687599
VSD_001,plain_prelu_style,0,healthy,0.6767045533102274,7.013217877894686,17.234035926209017,0.0,0.5,0.6328763802120301,7.6810819692437775,17.513120187965043,0.0,0.5,0.5987941190884378,4.9699859230948675,12.493742020366787,0.0,0.5,0.1166394764404908,21.070401036566196,45.012234853924866,0.0,0.5,0.5062536322627965,10.183671701699883
VSD_001,plain_unet_style,0,healthy,0.6952077304807911,6.51988089554704,16.709630173960935,0.0,0.5,0.6735918472728206,6.72531959959178,15.414523529640839,0.0,0.5,0.560133044498858,5.652712683059475,12.392686946250043,0.0,0.5,0.13445784658954268,19.54362410216897,41.63189115994315,0.0,0.5,0.5158476172105031,9.610384320091816
VSD_001,residual_relu_style,0,healthy,0.7289058051350492,5.49802134265384,15.781615062122148,0.0,0.5,0.6950920960382221,6.083559296980021,14.838251236545808,0.0,0.5,0.6317998194714349,4.284817938027154,10.951193894451123,0.0,0.5,0.27483353861344945,10.472632314201235,27.160954148468424,0.0,0.5,0.5826578148145389,6.584757722965563
VSD_001,residual_vnet_style,0,healthy,0.7211594525886847,5.688901402747537,16.151640640003478,0.0,0.5,0.6852755894194009,6.327765930779456,15.040653104721336,0.0,0.5,0.6295200372410641,4.353931354663599,11.074602407137101,0.0,0.5,0.2556736203633977,11.146787338151945,27.246031044453588,0.0,0.5,0.5729071749031369,6.879346506585635
